id,course,assignment,student_id,sequence_length,ast_nodes,max_depth,is_plagiarism_all,is_plagiarism_static,is_plagiarism_dynamic,plagiarism_group_size_all,plagiarism_group_size_static,plagiarism_group_size_dynamic
B2016_Z3/Z3_student4824,B2016,Z3/Z3,student4824,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student9482,B2016,Z3/Z3,student9482,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3178,B2016,Z3/Z3,student3178,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student8993,B2016,Z3/Z3,student8993,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2925,B2016,Z3/Z3,student2925,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5904,B2016,Z3/Z3,student5904,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1237,B2016,Z3/Z3,student1237,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1579,B2016,Z3/Z3,student1579,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4415,B2016,Z3/Z3,student4415,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2886,B2016,Z3/Z3,student2886,92,37,2,False,False,False,0,0,0
B2016_Z3/Z3_student4575,B2016,Z3/Z3,student4575,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2676,B2016,Z3/Z3,student2676,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5496,B2016,Z3/Z3,student5496,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5441,B2016,Z3/Z3,student5441,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student3756,B2016,Z3/Z3,student3756,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4011,B2016,Z3/Z3,student4011,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6613,B2016,Z3/Z3,student6613,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5468,B2016,Z3/Z3,student5468,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2111,B2016,Z3/Z3,student2111,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student6363,B2016,Z3/Z3,student6363,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8428,B2016,Z3/Z3,student8428,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5695,B2016,Z3/Z3,student5695,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4414,B2016,Z3/Z3,student4414,22,9,2,False,False,False,0,0,0
B2016_Z3/Z3_student2717,B2016,Z3/Z3,student2717,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5078,B2016,Z3/Z3,student5078,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student6571,B2016,Z3/Z3,student6571,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5939,B2016,Z3/Z3,student5939,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2267,B2016,Z3/Z3,student2267,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8986,B2016,Z3/Z3,student8986,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student4602,B2016,Z3/Z3,student4602,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8776,B2016,Z3/Z3,student8776,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8004,B2016,Z3/Z3,student8004,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6029,B2016,Z3/Z3,student6029,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3186,B2016,Z3/Z3,student3186,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7492,B2016,Z3/Z3,student7492,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student1793,B2016,Z3/Z3,student1793,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6956,B2016,Z3/Z3,student6956,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8774,B2016,Z3/Z3,student8774,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4628,B2016,Z3/Z3,student4628,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5536,B2016,Z3/Z3,student5536,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9318,B2016,Z3/Z3,student9318,82,33,2,False,False,False,0,0,0
B2016_Z3/Z3_student7335,B2016,Z3/Z3,student7335,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8006,B2016,Z3/Z3,student8006,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6995,B2016,Z3/Z3,student6995,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5244,B2016,Z3/Z3,student5244,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4614,B2016,Z3/Z3,student4614,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3386,B2016,Z3/Z3,student3386,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student7123,B2016,Z3/Z3,student7123,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8576,B2016,Z3/Z3,student8576,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4416,B2016,Z3/Z3,student4416,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4370,B2016,Z3/Z3,student4370,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2701,B2016,Z3/Z3,student2701,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3594,B2016,Z3/Z3,student3594,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7080,B2016,Z3/Z3,student7080,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5867,B2016,Z3/Z3,student5867,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student3557,B2016,Z3/Z3,student3557,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2675,B2016,Z3/Z3,student2675,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3219,B2016,Z3/Z3,student3219,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student8199,B2016,Z3/Z3,student8199,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1624,B2016,Z3/Z3,student1624,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2477,B2016,Z3/Z3,student2477,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6604,B2016,Z3/Z3,student6604,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student1180,B2016,Z3/Z3,student1180,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5899,B2016,Z3/Z3,student5899,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7678,B2016,Z3/Z3,student7678,102,41,2,False,False,False,0,0,0
B2016_Z3/Z3_student7888,B2016,Z3/Z3,student7888,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student3350,B2016,Z3/Z3,student3350,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1547,B2016,Z3/Z3,student1547,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9325,B2016,Z3/Z3,student9325,92,37,2,False,False,False,0,0,0
B2016_Z3/Z3_student4167,B2016,Z3/Z3,student4167,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student3634,B2016,Z3/Z3,student3634,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7320,B2016,Z3/Z3,student7320,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3807,B2016,Z3/Z3,student3807,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student1976,B2016,Z3/Z3,student1976,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7485,B2016,Z3/Z3,student7485,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1966,B2016,Z3/Z3,student1966,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6953,B2016,Z3/Z3,student6953,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student4163,B2016,Z3/Z3,student4163,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9447,B2016,Z3/Z3,student9447,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student5533,B2016,Z3/Z3,student5533,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student4639,B2016,Z3/Z3,student4639,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student8598,B2016,Z3/Z3,student8598,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2704,B2016,Z3/Z3,student2704,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student7085,B2016,Z3/Z3,student7085,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student6364,B2016,Z3/Z3,student6364,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student2664,B2016,Z3/Z3,student2664,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3546,B2016,Z3/Z3,student3546,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9296,B2016,Z3/Z3,student9296,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7293,B2016,Z3/Z3,student7293,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2472,B2016,Z3/Z3,student2472,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student1146,B2016,Z3/Z3,student1146,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student4770,B2016,Z3/Z3,student4770,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student8638,B2016,Z3/Z3,student8638,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6198,B2016,Z3/Z3,student6198,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5122,B2016,Z3/Z3,student5122,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7735,B2016,Z3/Z3,student7735,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1422,B2016,Z3/Z3,student1422,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2117,B2016,Z3/Z3,student2117,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4599,B2016,Z3/Z3,student4599,82,33,2,False,False,False,0,0,0
B2016_Z3/Z3_student9095,B2016,Z3/Z3,student9095,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5863,B2016,Z3/Z3,student5863,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student1542,B2016,Z3/Z3,student1542,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student7655,B2016,Z3/Z3,student7655,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4412,B2016,Z3/Z3,student4412,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student1581,B2016,Z3/Z3,student1581,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2922,B2016,Z3/Z3,student2922,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student8599,B2016,Z3/Z3,student8599,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3631,B2016,Z3/Z3,student3631,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7457,B2016,Z3/Z3,student7457,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2513,B2016,Z3/Z3,student2513,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student6007,B2016,Z3/Z3,student6007,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5268,B2016,Z3/Z3,student5268,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5297,B2016,Z3/Z3,student5297,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student8957,B2016,Z3/Z3,student8957,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2908,B2016,Z3/Z3,student2908,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5915,B2016,Z3/Z3,student5915,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4389,B2016,Z3/Z3,student4389,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7119,B2016,Z3/Z3,student7119,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student7125,B2016,Z3/Z3,student7125,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7643,B2016,Z3/Z3,student7643,92,37,2,False,False,False,0,0,0
B2016_Z3/Z3_student3425,B2016,Z3/Z3,student3425,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student8389,B2016,Z3/Z3,student8389,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student9097,B2016,Z3/Z3,student9097,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6824,B2016,Z3/Z3,student6824,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3790,B2016,Z3/Z3,student3790,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9524,B2016,Z3/Z3,student9524,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3009,B2016,Z3/Z3,student3009,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4766,B2016,Z3/Z3,student4766,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4982,B2016,Z3/Z3,student4982,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2464,B2016,Z3/Z3,student2464,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1192,B2016,Z3/Z3,student1192,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student8363,B2016,Z3/Z3,student8363,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2896,B2016,Z3/Z3,student2896,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student1390,B2016,Z3/Z3,student1390,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5860,B2016,Z3/Z3,student5860,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7911,B2016,Z3/Z3,student7911,102,41,2,False,False,False,0,0,0
B2016_Z3/Z3_student3424,B2016,Z3/Z3,student3424,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student4377,B2016,Z3/Z3,student4377,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student9451,B2016,Z3/Z3,student9451,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8029,B2016,Z3/Z3,student8029,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student6010,B2016,Z3/Z3,student6010,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6776,B2016,Z3/Z3,student6776,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5581,B2016,Z3/Z3,student5581,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student3872,B2016,Z3/Z3,student3872,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3133,B2016,Z3/Z3,student3133,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5542,B2016,Z3/Z3,student5542,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3899,B2016,Z3/Z3,student3899,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student7341,B2016,Z3/Z3,student7341,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student7180,B2016,Z3/Z3,student7180,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7802,B2016,Z3/Z3,student7802,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student3331,B2016,Z3/Z3,student3331,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student8264,B2016,Z3/Z3,student8264,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6507,B2016,Z3/Z3,student6507,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5185,B2016,Z3/Z3,student5185,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1446,B2016,Z3/Z3,student1446,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student9998,B2016,Z3/Z3,student9998,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student3047,B2016,Z3/Z3,student3047,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student5378,B2016,Z3/Z3,student5378,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2371,B2016,Z3/Z3,student2371,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student2364,B2016,Z3/Z3,student2364,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5345,B2016,Z3/Z3,student5345,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student8846,B2016,Z3/Z3,student8846,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1453,B2016,Z3/Z3,student1453,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7977,B2016,Z3/Z3,student7977,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student9972,B2016,Z3/Z3,student9972,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student3442,B2016,Z3/Z3,student3442,92,37,2,False,False,False,0,0,0
B2016_Z3/Z3_student6248,B2016,Z3/Z3,student6248,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5741,B2016,Z3/Z3,student5741,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2953,B2016,Z3/Z3,student2953,17,7,4,False,False,False,0,0,0
B2016_Z3/Z3_student7368,B2016,Z3/Z3,student7368,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2210,B2016,Z3/Z3,student2210,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student1725,B2016,Z3/Z3,student1725,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4852,B2016,Z3/Z3,student4852,92,37,2,False,False,False,0,0,0
B2016_Z3/Z3_student6706,B2016,Z3/Z3,student6706,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2574,B2016,Z3/Z3,student2574,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3483,B2016,Z3/Z3,student3483,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7197,B2016,Z3/Z3,student7197,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7791,B2016,Z3/Z3,student7791,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student5804,B2016,Z3/Z3,student5804,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6458,B2016,Z3/Z3,student6458,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4273,B2016,Z3/Z3,student4273,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student3736,B2016,Z3/Z3,student3736,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8139,B2016,Z3/Z3,student8139,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student8886,B2016,Z3/Z3,student8886,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8110,B2016,Z3/Z3,student8110,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5420,B2016,Z3/Z3,student5420,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student1120,B2016,Z3/Z3,student1120,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6303,B2016,Z3/Z3,student6303,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5636,B2016,Z3/Z3,student5636,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1336,B2016,Z3/Z3,student1336,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3535,B2016,Z3/Z3,student3535,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5805,B2016,Z3/Z3,student5805,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2830,B2016,Z3/Z3,student2830,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7948,B2016,Z3/Z3,student7948,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1518,B2016,Z3/Z3,student1518,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student9352,B2016,Z3/Z3,student9352,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student6707,B2016,Z3/Z3,student6707,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5226,B2016,Z3/Z3,student5226,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6049,B2016,Z3/Z3,student6049,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7425,B2016,Z3/Z3,student7425,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student9385,B2016,Z3/Z3,student9385,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student9391,B2016,Z3/Z3,student9391,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1915,B2016,Z3/Z3,student1915,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6924,B2016,Z3/Z3,student6924,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student7421,B2016,Z3/Z3,student7421,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5236,B2016,Z3/Z3,student5236,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student4128,B2016,Z3/Z3,student4128,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student1044,B2016,Z3/Z3,student1044,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student7810,B2016,Z3/Z3,student7810,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student5961,B2016,Z3/Z3,student5961,20,9,5,False,False,False,0,0,0
B2016_Z3/Z3_student1534,B2016,Z3/Z3,student1534,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student7970,B2016,Z3/Z3,student7970,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student9949,B2016,Z3/Z3,student9949,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student1483,B2016,Z3/Z3,student1483,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5829,B2016,Z3/Z3,student5829,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1468,B2016,Z3/Z3,student1468,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5140,B2016,Z3/Z3,student5140,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student1326,B2016,Z3/Z3,student1326,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5154,B2016,Z3/Z3,student5154,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3900,B2016,Z3/Z3,student3900,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8100,B2016,Z3/Z3,student8100,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7540,B2016,Z3/Z3,student7540,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student3732,B2016,Z3/Z3,student3732,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student7597,B2016,Z3/Z3,student7597,72,29,2,False,False,False,0,0,0
B2016_Z3/Z3_student8854,B2016,Z3/Z3,student8854,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8317,B2016,Z3/Z3,student8317,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student2148,B2016,Z3/Z3,student2148,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student2160,B2016,Z3/Z3,student2160,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student2821,B2016,Z3/Z3,student2821,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1482,B2016,Z3/Z3,student1482,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student5800,B2016,Z3/Z3,student5800,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student4471,B2016,Z3/Z3,student4471,82,33,2,False,False,False,0,0,0
B2016_Z3/Z3_student7193,B2016,Z3/Z3,student7193,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student2941,B2016,Z3/Z3,student2941,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student8288,B2016,Z3/Z3,student8288,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student7346,B2016,Z3/Z3,student7346,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3108,B2016,Z3/Z3,student3108,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1938,B2016,Z3/Z3,student1938,52,21,2,False,False,False,0,0,0
B2016_Z3/Z3_student5592,B2016,Z3/Z3,student5592,82,33,2,False,False,False,0,0,0
B2016_Z3/Z3_student4659,B2016,Z3/Z3,student4659,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3136,B2016,Z3/Z3,student3136,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student3485,B2016,Z3/Z3,student3485,12,5,2,False,False,False,0,0,0
B2016_Z3/Z3_student6516,B2016,Z3/Z3,student6516,62,25,2,False,False,False,0,0,0
B2016_Z3/Z3_student4473,B2016,Z3/Z3,student4473,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student3320,B2016,Z3/Z3,student3320,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student1494,B2016,Z3/Z3,student1494,42,17,2,False,False,False,0,0,0
B2016_Z3/Z3_student8329,B2016,Z3/Z3,student8329,42,17,2,False,False,False,0,0,0
